Date,Tavg,Tmin ,Tmax,Humidity,Wind speed,Pressure,Phenomenon Weather
01/01/2009,0,-1,1,91,5,1024,Snowy 
02/01/2009,0,-1,2,92,11,1020,Foggy 
03/01/2009,1,-3,3,75,5,1021,Sunny
04/01/2009,-3,-4,-1,91,3,1018,Foggy 
05/01/2009,-2,-3,0,90,2,1013,Snowy 
06/01/2009,0,0,1,91,3,1015,Snowy 
07/01/2009,1,0,2,91,3,1015,Rainy 
08/01/2009,2,1,4,88,4,1022,Rainy 
09/01/2009,0,-4,5,54,2,1029,Sunny
10/01/2009,-4,-8,1,60,3,1027,Foggy 
11/01/2009,-3,-9,3,63,2,1030,Foggy 
12/01/2009,-2,-8,5,63,2,1029,Foggy 
13/01/2009,-3,-9,5,63,2,1029,Foggy 
14/01/2009,1,-2,4,62,2,1028,Sunny
15/01/2009,2,1,4,69,1,1026,Rainy 
16/01/2009,0,-2,2,73,3,1024,Foggy 
17/01/2009,-1,-3,2,74,2,1024,Foggy 
18/01/2009,1,0,2,77,2,1018,Rainy 
19/01/2009,2,1,2,81,3,1010,Rainy 
20/01/2009,1,1,2,79,3,999,Rainy 
21/01/2009,3,1,5,78,3,1002,Foggy 
22/01/2009,1,-1,7,77,2,1005,Foggy 
23/01/2009,1,-2,3,87,4,0,Rainy 
24/01/2009,1,-2,3,86,4,990,Foggy 
25/01/2009,4,0,8,74,4,997,Sunny
26/01/2009,5,2,8,77,4,1001,Rainy 
27/01/2009,4,2,8,82,3,1003,Rainy 
28/01/2009,3,0,7,86,2,1008,Foggy 
29/01/2009,2,-3,10,76,2,1012,Foggy 
30/01/2009,2,-2,7,84,3,1017,Foggy 
31/01/2009,2,-1,4,81,3,1014,Foggy 
01/02/2009,1,0,3,80,3,1009,Snowy 
02/02/2009,1,0,2,89,3,1007,Rainy 
03/02/2009,2,1,5,86,3,1003,Rainy 
04/02/2009,5,1,8,80,3,1000,Rainy 
05/02/2009,7,5,9,87,3,1004,Rainy 
06/02/2009,7,5,9,87,6,997,Rainy 
07/02/2009,8,6,9,85,6,989,Rainy 
08/02/2009,7,4,12,78,5,994,Rainy 
09/02/2009,5,-1,13,66,4,0,Foggy 
10/02/2009,5,4,7,80,4,1006,Rainy 
11/02/2009,6,4,12,63,13,1025,Sunny
12/02/2009,3,-1,9,36,7,1009,Sunny
13/02/2009,4,0,8,0,9,1012,Sunny
14/02/2009,-1,-5,7,53,4,1015,Sunny
15/02/2009,-1,-5,7,57,5,1022,Sunny
16/02/2009,3,-2,10,50,4,1021,Sunny
17/02/2009,5,-2,13,58,8,1013,Sunny
18/02/2009,3,-1,8,51,7,1016,Sunny
19/02/2009,0,-4,6,57,3,1020,Sunny
20/02/2009,1,-5,8,63,8,1024,Sunny
21/02/2009,4,0,12,54,3,1024,Sunny
22/02/2009,4,-2,11,64,4,1019,Sunny
23/02/2009,3,-2,8,75,4,1013,Sunny
24/02/2009,2,-2,8,83,4,1016,Foggy 
25/02/2009,5,1,11,60,5,1027,Sunny
26/02/2009,6,-1,13,61,4,1021,Sunny
27/02/2009,7,-1,15,66,3,1015,Sunny
28/02/2009,8,1,16,68,4,1018,Foggy 
01/03/2009,8,7,11,80,5,1015,Rainy 
02/03/2009,8,7,11,83,3,1014,Rainy 
03/03/2009,8,4,12,83,4,1014,Rainy 
04/03/2009,8,7,9,86,6,1000,Rainy 
05/03/2009,7,5,8,89,4,980,Rainy 
06/03/2009,7,5,10,80,2,989,Rainy 
07/03/2009,4,1,16,79,9,1000,Foggy 
08/03/2009,6,0,15,51,3,1008,Sunny
09/03/2009,6,2,10,77,9,1010,Sunny
10/03/2009,6,1,14,47,3,1016,Sunny
11/03/2009,4,0,17,70,13,1013,Sunny
12/03/2009,5,0,15,44,5,1021,Sunny
13/03/2009,12,6,19,54,6,1016,Sunny
14/03/2009,10,7,15,64,4,1020,Sunny
15/03/2009,11,1,19,64,3,1020,Foggy 
16/03/2009,9,5,17,68,3,1026,Sunny
17/03/2009,10,3,17,56,3,1027,Sunny
18/03/2009,10,4,18,63,3,1021,Sunny
19/03/2009,10,5,17,54,6,1016,Sunny
20/03/2009,7,4,11,57,6,1020,Sunny
21/03/2009,,,,,,,Sunny
22/03/2009,5,-1,13,54,3,1019,Sunny
23/03/2009,8,2,20,56,6,1012,Sunny
24/03/2009,10,7,14,72,13,1000,Sunny
25/03/2009,7,3,16,39,6,1004,Sunny
26/03/2009,7,3,19,68,4,1007,Sunny
27/03/2009,11,4,17,52,4,1008,Sunny
28/03/2009,11,10,13,80,9,1005,Rainy 
29/03/2009,10,9,11,88,5,1001,Rainy 
30/03/2009,12,8,16,75,3,1010,Rainy 
31/03/2009,13,10,17,69,5,1015,Rainy 
01/04/2009,11,9,15,81,4,1013,Rainy 
02/04/2009,12,11,13,85,4,1015,Rainy 
03/04/2009,14,10,20,71,3,1019,Sunny
04/04/2009,13,8,18,69,3,1018,Rainy 
05/04/2009,15,12,21,70,3,1018,Lightning 
06/04/2009,14,7,23,64,3,1015,Foggy 
07/04/2009,15,9,23,58,4,1013,Sunny
08/04/2009,15,10,21,53,3,1016,Sunny
09/04/2009,15,7,23,61,3,1017,Foggy 
10/04/2009,15,12,19,70,6,1014,Sunny
11/04/2009,15,12,20,69,4,1012,Rainy 
12/04/2009,16,13,21,62,4,1010,Sunny
13/04/2009,15,8,24,64,5,1005,Foggy 
14/04/2009,17,10,24,53,4,1007,Sunny
15/04/2009,16,9,24,52,3,1011,Sunny
16/04/2009,13,10,15,75,6,1011,Lightning 
17/04/2009,13,8,20,66,5,1010,Lightning 
18/04/2009,14,9,19,66,4,1012,Rainy 
19/04/2009,12,11,15,80,5,1017,Rainy 
20/04/2009,13,11,16,82,4,1018,Rainy 
21/04/2009,15,10,20,74,3,1016,Rainy 
22/04/2009,18,11,25,60,4,1014,Sunny
23/04/2009,15,10,22,66,9,1013,Sunny
24/04/2009,13,10,17,60,6,1019,Rainy 
25/04/2009,15,8,21,60,3,1019,Foggy 
26/04/2009,12,11,14,80,6,1016,Rainy 
27/04/2009,13,11,15,85,12,1007,Rainy 
28/04/2009,12,11,13,90,6,1003,Lightning 
29/04/2009,12,7,18,73,5,1006,Lightning 
30/04/2009,13,9,19,62,4,1011,Sunny
